User;Question number;Context relevant;Question relevant;Halucinations;Correctness;Theme;Enumeration
daniel;1;YES;YES;YES;NO;4;NO
daniel;2;NO;NO;NO;YES;10;NO
daniel;3;YES;YES;NO;YES;9;NO
domagoj;1;YES;YES;NO;YES;2;NO
domagoj;2;YES;YES;NO;NO;6;NO
domagoj;3;YES;NO;NO;YES;10;YES
hrvoje;1;YES;YES;NO;YES;4;YES
hrvoje;2;NO;NO;NO;YES;10;NO
hrvoje;3;NO;YES;NO;NO;6;NO
ivan;1;YES;YES;NO;YES;4;NO
ivan;2;NO;NO;NO;YES;5;NO
ivan;3;YES;YES;NO;YES;4;NO
ivana-1;1;YES;YES;NO;YES;9;NO
ivana-1;2;YES;YES;NO;YES;10;NO
ivana-1;3;YES;YES;NO;YES;4;NO
ivana-2;1;YES;YES;NO;NO;6;NO
ivana-2;2;YES;YES;NO;YES;10;NO
ivana-2;3;YES;YES;NO;YES;1;NO
ivana-3;1;YES;YES;NO;YES;10;NO
ivana-3;2;NO;YES;NO;NO;9;NO
ivana-3;3;NO;NO;NO;YES;10;NO
korra;1;YES;YES;NO;YES;1;NO
korra;2;NO;YES;NO;YES;4;NO
korra;3;YES;YES;NO;YES;4;NO
lana;1;NO;NO;YES;NO;10;NO
lana;2;NO;NO;NO;YES;5;NO
lana;3;YES;YES;NO;YES;10;NO
luka-a;1;YES;YES;NO;YES;4;NO
luka-a;2;NO;YES;YES;NO;1;YES
luka-a;3;YES;YES;NO;YES;2;NO
luka-m;1;NO;NO;NO;YES;9;NO
luka-m;2;YES;YES;NO;YES;4;YES
luka-m;3;NO;YES;NO;NO;2;NO
mario-1;1;YES;YES;NO;YES;6;NO
mario-1;2;YES;YES;NO;YES;6;NO
mario-1;3;YES;YES;NO;YES;6;NO
mario-2;1;YES;YES;NO;YES;4;NO
mario-2;2;YES;YES;NO;YES;4;NO
mario-2;3;NO;YES;NO;YES;4;YES
mario-3;1;NO;YES;YES;NO;1;NO
mario-3;2;NO;YES;YES;NO;1;YES
mario-3;3;YES;YES;YES;NO;4;YES
mario-4;1;YES;YES;NO;YES;1;NO
mario-4;2;YES;YES;NO;YES;1;NO
mario-4;3;NO;YES;YES;NO;1;YES
mario-5;1;NO;YES;NO;YES;1;YES
mario-5;2;YES;YES;NO;NO;1;NO
mario-5;3;YES;YES;NO;NO;1;NO
mario-6;1;YES;YES;NO;YES;10;NO
mario-6;2;YES;YES;NO;YES;9;NO
mario-6;3;YES;YES;NO;YES;9;NO
mario-7;1;NO;YES;NO;YES;10;NO
mario-7;2;YES;YES;NO;YES;10;NO
mario-7;3;YES;YES;NO;YES;10;YES
mario-8;1;YES;YES;NO;YES;9;NO
mario-8;2;YES;YES;NO;YES;9;YES
mario-8;3;YES;YES;NO;NO;9;NO
mario-9;1;YES;YES;NO;YES;1;NO
mario-9;2;YES;YES;NO;YES;1;NO
mario-9;3;NO;YES;NO;NO;1;NO
mario-10;1;YES;YES;NO;YES;10;YES
mario-10;2;YES;YES;NO;YES;10;NO
mario-10;3;YES;YES;NO;YES;10;YES
mario-11;1;YES;YES;NO;YES;10;NO
mario-11;2;YES;YES;NO;YES;10;NO
mario-11;3;YES;YES;NO;YES;9;NO
mario-12;1;YES;YES;NO;YES;9;NO
mario-12;2;YES;YES;NO;YES;9;NO
mario-12;3;YES;YES;NO;YES;9;NO
mario-13;1;NO;YES;YES;NO;1;NO
mario-13;2;NO;YES;NO;NO;1;NO
mario-13;3;NO;YES;NO;YES;1;YES
mario-14;1;YES;YES;NO;YES;6;NO
mario-14;2;YES;YES;NO;NO;1;YES
mario-14;3;NO;YES;NO;YES;1;YES
mario-15;1;YES;YES;NO;YES;10;NO
mario-15;2;YES;YES;NO;YES;10;NO
mario-15;3;NO;YES;NO;YES;10;NO
mario-16;1;NO;YES;YES;NO;1;YES
mario-16;2;NO;YES;NO;YES;1;YES
mario-16;3;NO;YES;YES;NO;1;YES
mario-17;1;YES;YES;NO;YES;1;YES
mario-17;2;NO;YES;YES;NO;1;YES
mario-17;3;NO;YES;NO;YES;1;YES
mario-18;1;YES;YES;NO;YES;9;NO
mario-18;2;YES;YES;NO;YES;9;YES
mario-18;3;NO;YES;NO;NO;9;YES
mario-19;1;YES;YES;NO;YES;9;NO
mario-19;2;YES;YES;NO;YES;7;NO
mario-19;3;YES;YES;NO;YES;7;YES
mario-20;1;YES;YES;NO;YES;7;YES
mario-20;2;YES;YES;NO;YES;6;NO
mario-20;3;NO;YES;NO;YES;2;NO
mario-j;1;YES;YES;NO;YES;9;YES
mario-j;2;YES;YES;NO;YES;10;NO
mario-j;3;NO;NO;NO;YES;10;NO
marko-1;1;NO;YES;YES;YES;4;YES
marko-1;2;YES;YES;NO;YES;4;NO
marko-1;3;NO;YES;YES;NO;4;YES
marko-2;1;NO;YES;NO;YES;4;YES
marko-2;2;YES;YES;NO;YES;4;YES
marko-2;3;YES;YES;NO;YES;4;NO
marta;1;NO;YES;NO;YES;4;NO
marta;2;YES;YES;NO;YES;9;NO
marta;3;NO;YES;YES;NO;4;YES
pavao;1;NO;YES;NO;YES;4;NO
pavao;2;YES;YES;NO;NO;1;NO
pavao;3;NO;NO;NO;YES;4;YES
prof-1;1;YES;YES;NO;YES;9;NO
prof-1;2;YES;YES;NO;YES;9;NO
prof-1;3;YES;YES;NO;YES;10;NO
prof-2;1;NO;YES;NO;YES;9;NO
prof-2;2;YES;YES;NO;YES;9;NO
prof-2;3;YES;YES;NO;YES;10;NO
robert;1;NO;YES;NO;YES;9;NO
robert;2;NO;YES;NO;YES;4;NO
robert;3;NO;YES;YES;YES;4;NO
sandra;1;NO;YES;NO;YES;10;NO
sandra;2;YES;YES;NO;YES;9;NO
sandra;3;NO;YES;NO;YES;5;NO